Tweet No || ID from Twitter API || Date || Content
45	||	743908384454381568	||	Fri Jun 17 23:49:14 EEST 2016	||	@merdumgiris Bando mehter marşı çalıyor olmuyor, 10. yıl marşı çalıyor olmuyor
46	||	736276428916985857	||	Fri May 27 22:22:34 EEST 2016	||	RT @eskisehirspor22: Aldırma #Adanademirspor! Ptt tribünleri daha zevkli oldu. Süper lige baksana gençler,akhisar,alanya,antalya,kayseri,ba…
47	||	788021909682356224	||	Mon Oct 17 17:20:38 EEST 2016	||	Kürk mantolu madonnaLeyla ile mecnundan bur örnekle açıklamak isterim en sevdiğim kürt madonna sfsdggs
48	||	651866258049208320	||	Thu Oct 08 00:06:41 EEST 2015	||	RT @nebilicen: Sanssizlik alaninda nobel yok mu ben de gidip onu alayim
49	||	602949789186138113	||	Tue May 26 00:30:06 EEST 2015	||	@_ertemsener şampiyon takım nerede abi oyuncular nerede şampiyonları gösterin artık
50	||	817983756736794624	||	Sun Jan 08 08:38:19 EET 2017	||	RT @SabahattnAli: Niçin bütün insanların benzi soluk, yüreği kederli?Sabahattin Ali
51	||	673890795791978496	||	Mon Dec 07 17:44:20 EET 2015	||	RT @Biyikbay: Cami minarelerinden günlerce pkk marşı çalıp suriçi bizimdir giremeyeceksiniz diyenler, camiyi devletin yaktığını söylüyor...
52	||	736268879153012737	||	Fri May 27 21:52:34 EEST 2016	||	Berbat penaltilardan sonra alanya ligde :)
53	||	596207487419809792	||	Thu May 07 09:58:36 EEST 2015	||	aa'dan sonra yeni moda Tick Tack Boom https://t.co/leW8metqgt - Suriye&#39;ye 57141
54	||	788082659956228096	||	Mon Oct 17 21:22:02 EEST 2016	||	RT @cansellelcin: Bugünkü yaşanan olaydan sonra "Bilmiyorum" demek çok havalı. ????#kurkmantolumadonna
55	||	629148389213622273	||	Thu Aug 06 07:33:59 EEST 2015	||	RT @onlinespor: Fenerbahçe'nin UEFA Avrupa Ligi Play-Off Turundaki Muhtemel Rakipleri http://t.co/9QLMoEAOxQ
56	||	630325021509087232	||	Sun Aug 09 13:29:30 EEST 2015	||	RT @RMZYL: Kız , işleyenen demiri yanlış anlamış herkese kendini işletmiş şimdi oturmuş karaktermiş felan filan peşinde sen az pas tut konu…
57	||	604546304870621185	||	Sat May 30 10:14:05 EEST 2015	||	Uyanın ulan şampiyonun maçı var #BugünGünlerdenGALATASARAY
58	||	788083792451866625	||	Mon Oct 17 21:26:32 EEST 2016	||	#kurkmantolumadonna ömrümüzden bir sene geçtiğini göstermesi..çünkü ömrümüzü senelere ayırmakta insanların uydurması. ...Raif efendi??
59	||	651747882186444802	||	Wed Oct 07 16:16:18 EEST 2015	||	RT @alosmanic: nobel'le ilgili 500 tivit okudum sadece bir tanesinde nobel'in icerigini ogrenebildim canim ulkemde konu bilimken bile bilim…
60	||	640111280653770752	||	Sat Sep 05 13:36:36 EEST 2015	||	@gokcebugra yedinmi abi boşnak böreği vereceklerdi
61	||	641264781379399680	||	Tue Sep 08 18:00:12 EEST 2015	||	RT @gkhnbaltacioglu: Ne oldu lan dantelli kefenli ibneler ülke yangın yeri,gazete basmayla olmuyor bu işler hadi dağlıcaya !! http://t.co/g…
62	||	743919100922044416	||	Sat Jun 18 00:31:49 EEST 2016	||	biraz beşiktaş marşı dinleyip kendime geliyim ayol
63	||	673891081017237505	||	Mon Dec 07 17:45:28 EET 2015	||	RT @SarperinGamzesi: #PanteneAltınKelebek Ödül Töreninin en yakışıklısı ilan ediyorum?? @sarper_akkaya
64	||	595272967149486083	||	Mon May 04 20:05:09 EEST 2015	||	RT @duamsero: Serenay için değerli olan bizim içinde değerlidir Hadise için @Hadise_Agenda @HadiseTV  #TürkiyeMüzikÖdülleriniKınıyoruz
65	||	603454317824188416	||	Wed May 27 09:54:55 EEST 2015	||	RT @ChicaOfGala: Lig TV'nin hazırladığı şampiyonluk klibimiz yine mükemmel! #Kayahan https://t.co/VnhiD5GXbq
66	||	766291979797946368	||	Thu Aug 18 18:13:39 EEST 2016	||	Bu koltukta oturan / bütün insanlığın vicdanıdır  #TeröreLanetOlsun https://t.co/PtY6ronCgN
67	||	630688671864352768	||	Mon Aug 10 13:34:31 EEST 2015	||	RT @adamkaybettii: Mardin'de şehit olan Antalya/Alanyalı Abdullah Ümit Sercanin cenazesi.Başımız sağolsun.#HepimizAskerizHepimizPolisiz ht…
68	||	674114637420322816	||	Tue Dec 08 08:33:48 EET 2015	||	Latuff'un @LatuffCartoons karikatür bloguna Türkiye'den erişim engeli https://t.co/3pCUyWBa7v @solhaberportali aracılığıyla
69	||	736277154502213637	||	Fri May 27 22:25:27 EEST 2016	||	Hadi yine iyisiniz hayalini kurduğunuz Alanya'ya deplasmana geleceksiniz. #Alanyaspor #alanya
70	||	630078576822513664	||	Sat Aug 08 21:10:13 EEST 2015	||	Yasin olmak ?????????? #Galatasaray
71	||	640911541278220288	||	Mon Sep 07 18:36:33 EEST 2015	||	RT @pargaliersin: BİR ÖLÜR, BİN DİRİLİRİZ! #dağlıca http://t.co/z3LHrVTHsX
72	||	629683783734816768	||	Fri Aug 07 19:01:27 EEST 2015	||	bir kürt düğünü yakınlarında onlaynım turbo turbo marş diye bi türkü söylüyorlar galiba anlayamadım kürtçe bileniniz var mı bu ne
73	||	787949033625120768	||	Mon Oct 17 12:31:03 EEST 2016	||	RT @nerdebuadamyahu: Bakmayın siz kınamalara, bu olay sayesinde "aa o madonna bu madonna değil miymiş" diyen en az 70 milyon kişi bulabilir…
74	||	638863353591541760	||	Wed Sep 02 02:57:47 EEST 2015	||	@yusufalptekink Bir aydır varmış ama söylememiş. Dün gece ağlayarak geldi yanıma biraz kuran okuduk uyudu. Bugün tekrarlayınca gittik işte
75	||	743819888825929729	||	Fri Jun 17 17:57:35 EEST 2016	||	RT @Yazar212: Eski AKP Balıkesi MV. aday adayı,Şimdiki Bolu Milli Eğitim MD.nesoralımBu marşın hangi sözü seni rahatsız etti? https://t.…
76	||	816906323900137472	||	Thu Jan 05 09:16:59 EET 2017	||	RT @muzikkacyiloldu: Madonna: "La Isla Bonita" diyeli 31 yıl oldu. https://t.co/ocEusQXYic
77	||	595745648437256192	||	Wed May 06 03:23:25 EEST 2015	||	RT @MelisaSuBoz: Canlı Webcam Show'da sex! http://t.co/PdqlFKrbqR ??ücretsiz üyelikle izleyebilirsin.Yayına gelip pozisyon söyleyin?? http:…
78	||	787944814159462400	||	Mon Oct 17 12:14:17 EEST 2016	||	Ben ülkedeki herkes kürk mantolu madonnayı okudu sanıyodum yani mahalledeki yaşlı amcalar bile instagram açıp fotoğrafını koymuştur
79	||	817008107071172608	||	Thu Jan 05 16:01:26 EET 2017	||	RT @bennejatisler: Dağlarında çiçekler açardı İzmir'in. Şimdi yüreği yanıyor kurtuluş destanı yazan vatan kokan şehrin. Teröre lanet olsun.…
80	||	602928712800149504	||	Mon May 25 23:06:21 EEST 2015	||	Meşaleleri yakın şampiyon takım geliyor
81	||	652565209438158850	||	Fri Oct 09 22:24:04 EEST 2015	||	kediler ve trafo üzerine yaptığı çalışmalardan dolayinobel i hakediyor..! http://t.co/3jJI2vZmgd
82	||	766627004032647168	||	Fri Aug 19 16:24:55 EEST 2016	||	@wseeihgw @primadonna_bot Türk olduğunu göz ardı edince de en iyisi o zaten ????
83	||	652119644329910272	||	Thu Oct 08 16:53:33 EEST 2015	||	Sanssizlik alaninda nobel yok mu ben de gidip onu alayim
84	||	602922127734480896	||	Mon May 25 22:40:11 EEST 2015	||	Sahalarin ve gonullerin şampiyonu G4L4T4S4R4Y:-):-):-)....
85	||	651840928639025152	||	Wed Oct 07 22:26:02 EEST 2015	||	RT @gokcefirat: Aziz Sancar kimya nobeli almış.İtalya'da doktoraya başlayan Bilal'den beklentim "Sıfır ve sıfırlama" tezi ile matematik no…
86	||	651813699229995008	||	Wed Oct 07 20:37:50 EEST 2015	||	RT @MaleMonkey_: Nobel ödülü alan vatandaşımızı ülke olarak nobel ödülü aldığı gün tanıdık!Bu kadar duyarsızlıkla başımıza gelen her tür b…
87	||	651875351266754561	||	Thu Oct 08 00:42:49 EEST 2015	||	Düne kadar adından haberimiz olmayan adamın nobel ödülünü nasılda paylaştık ama hemen.
88	||	640985734334283776	||	Mon Sep 07 23:31:22 EEST 2015	||	RT @ebrudestaninan: Hakkari dağlıca'da şehit düşen Turgutlu'lu piyade çavuş TOLGA ARTUĞ bu paylaşımı yapmış 3… https://t.co/M3jdENGhz4
89	||	651802638846140416	||	Wed Oct 07 19:53:53 EEST 2015	||	RT @GurkaynakGonenc: Tebrikler. Memleket bu sefer de Orhan Pamuk'un nobeliyle Aziz Sancar'ın nobeli arasında bölünüp hangisinin daha Türk o…
90	||	675002357659385856	||	Thu Dec 10 19:21:17 EET 2015	||	RT @tutsakimgeler: #GünKaraYerAnkara Gün KIZIL BİR BAYRAKTIRGün SOSYALİZMDE ISRARİNSAN OLMAKTA ISRARdırGünBir devrimci marş ilerleyi…
91	||	767027438425612288	||	Sat Aug 20 18:56:06 EEST 2016	||	RT @dcloveee: Seni haftada bir gün görmenin mutlulugu anlatilamaz DuyguÇetinkaya EkranlardaOlmalı
92	||	640845443237326849	||	Mon Sep 07 14:13:54 EEST 2015	||	RT @heyneversay: #Ülkemİçin UYAN TÜRKİYEM !!! #dağlıca    KAHROLSUN PKK !!! #TeröereLanetOlsun
93	||	744524104091435008	||	Sun Jun 19 16:35:53 EEST 2016	||	RT @chstrhck: "Taraftar ayakta stad yıkılıyo arda peş peşe golleri atıyo çeyrek finaldeyiz marşlar söyleniyo herkes mutlu" Bi uyandım REKLA…
94	||	766639452743725056	||	Fri Aug 19 17:14:23 EEST 2016	||	RT @Melikkaann: Beşiktaş alanya maçına eski açık bileti var ilgilenen ulaşsın varsa bi rt alırım.
95	||	639806321198538753	||	Fri Sep 04 17:24:48 EEST 2015	||	RT @hakdinislam01: '' Beni görmedikleri halde bana iman eden kardeşlerimi görmeyi çok isterdim.'' Hz.Muhammed (s.a.v)
96	||	651875913316073472	||	Thu Oct 08 00:45:03 EEST 2015	||	Aziz Sancar dünyaca ünlü kimyacı ama biz nobel ödülü alınca öğreniyoruz. muazzam bir ülkeyiz
97	||	788014926140964864	||	Mon Oct 17 16:52:53 EEST 2016	||	RT @madamindahauz: Abovv kürk mantolu madonna olayını duvar dibine çöküp izledim.
98	||	630740190517161984	||	Mon Aug 10 16:59:14 EEST 2015	||	RT @AslanStatistic: Galatasaray eski scoutu Mahmut Alpaslan: Galatasaray öğrendiğim kadarıyla en az 2 transfer yapacak taraftar rahat olsun.
99	||	788971793688227840	||	Thu Oct 20 08:15:08 EEST 2016	||	RT @kerimcankamal: Karma eğitim istemiyoruz.Kürk madonnalı palto sevmiyoruz.Kırmızı başlıklı kızlan kurt aynı masalda  olmaz.Hansel'le G…
100	||	640874270718083073	||	Mon Sep 07 16:08:27 EEST 2015	||	RT @MEGuzeldere: Şehit haberinden kötüdür şehit haberine alışmak.. Muhsin Yazıcıoğlu #dağlıca
101	||	640765030070374400	||	Mon Sep 07 08:54:22 EEST 2015	||	yüreğimiz dağlandı,dağlıca yastayız
102	||	651752521090920448	||	Wed Oct 07 16:34:44 EEST 2015	||	Bir kürt Türkiye adına nobel alıyor gocunmuyor diger bir kürt o.ç sa orada ki bayraktan rahatsız oluyor sen lazım değilsin zaten bize
103	||	818145824618246145	||	Sun Jan 08 19:22:19 EET 2017	||	RT @12numaraorg: Beşiktaş-Fenerbahçe basketbol maçında İzmir Marşı söyleniyor! Tebrikler Beşiktaş taraftarı! ?????? #YaşaMustafaKemalPaşaYaşa
104	||	640974426503294977	||	Mon Sep 07 22:46:26 EEST 2015	||	#DağlarTEMİZLENECEK nasıl ki bizim canımız dağlıcada yandı, dağlıca sizin başınıza bombalansın...
105	||	787975596160720896	||	Mon Oct 17 14:16:36 EEST 2016	||	keşke aranızda kalsaydı sdjkdchjd #kürkmantolumadonna
106	||	817290543139065856	||	Fri Jan 06 10:43:44 EET 2017	||	RT @veiyibaba: Etrafımız o kadar çirkefle dolu ki;Temiz kalmak için tek çare kendi dünyamıza çekilmek.Sabahattin Ali https://t.co/FVCrHT…
107	||	628879567894265857	||	Wed Aug 05 13:45:47 EEST 2015	||	yineyineyşbr (@ Damla Plus Etüt Merkezi) https://t.co/D02igMGjtN
108	||	744095186184200192	||	Sat Jun 18 12:11:31 EEST 2016	||	Mehter marşıyla bir yere varilmaz meb müdürü iki ileri bir geri bu vatan ilerlemez durmadan yürümeli üretmeliyiz https://t.co/aRCvSFcmPT
109	||	640767827671150592	||	Mon Sep 07 09:05:29 EEST 2015	||	Zor günlerdeyiz. ..?????????????????#dağlıca #terörülanetliyoruz https://t.co/63k4v9P6VE
110	||	604597529896972288	||	Sat May 30 13:37:38 EEST 2015	||	RT @Fenerwin: "Ali Koç Başkan Fenerbahçe şampiyon" tezahüratları sırasında Başkan'ın yüz ifadesi :) http://t.co/JfyDNzV8nm
111	||	595898715379892225	||	Wed May 06 13:31:39 EEST 2015	||	Ramon Motta: "Umarım sezonu şampiyon olarak tamamlarız. O zaman şampiyonluk pastası keseriz."… http://t.co/WbMRSpCzWf #Beşiktaş
112	||	816921385641639941	||	Thu Jan 05 10:16:50 EET 2017	||	Günaydınlar.
113	||	788006176843706368	||	Mon Oct 17 16:18:07 EEST 2016	||	RT @MRTTVL: Bizim ülke insanının kelime haznesinde "bilmiyorum" kelimesi yok. Bizde her konuda fikir sahibi olmak var.Kürk mantolu madonna…
114	||	744899443955273728	||	Mon Jun 20 17:27:21 EEST 2016	||	RT @errdemglr: 10.yıl marşını yasaklayan Bolu Milli Eğitim Müdürü'nü protesto eden CHP Milletvekili Tanju Özcan'a polisin saldırısı https:/…
115	||	640785674430480384	||	Mon Sep 07 10:16:24 EEST 2015	||	@servetdemirel25 @BelYalc @mamostey ulan gerizekalı dağlıcada ölen gençler içinde konuşsana bunu türk kürt diye bakan zihnytten bi bok olmaz
116	||	604609802443075584	||	Sat May 30 14:26:24 EEST 2015	||	@Ayberkowski bi daha ki şampiyonluğa kalsın
117	||	743888247596662784	||	Fri Jun 17 22:29:13 EEST 2016	||	Başarılar Türkiyem mehter marşında #ESP cakicakti  amk
118	||	638965275174563840	||	Wed Sep 02 09:42:47 EEST 2015	||	RT @CNNTURKSpor: İşte Galatasaray'ın 25 kişilik Şampiyonlar Ligi kadrosu http://t.co/bgCrrgVl7p http://t.co/P8KxM1iJZC
119	||	787971234088808448	||	Mon Oct 17 13:59:16 EEST 2016	||	@hand_187 @bonbonfunda ben de okudum o kitabı.madonnayı postmodern bir dille anlatmışlardı ama altını çizeceğim bir şey yoktu
120	||	640990088017629184	||	Mon Sep 07 23:48:40 EEST 2015	||	RT @MalikEjderTuran: Şehit olan YARBAYİMİZİN dağlıcada ki veda konuşması izledikçe içim yanıyor yemin ederim. http://t.co/5eIGp9pfDj
121	||	817073391442268160	||	Thu Jan 05 20:20:51 EET 2017	||	RT @cbcanch: milletin vergilerinden maaş alan bu orospuevladı terörün merkezi haline getirilen chp'de dhkpc kontejanından meclis…
122	||	629640892811489280	||	Fri Aug 07 16:11:01 EEST 2015	||	RT @barzan_qarnu: ABD Başkanı Obama: Türkiye'de PKK terörü bitmelidir, PYD bizim ortağımız filan değil.
123	||	640048189941391360	||	Sat Sep 05 09:25:54 EEST 2015	||	RT @Derinkuvvet: Cizre den ilk gelen bilgi 7 teröristin öldürüldüğü şehit yada yaralımızın olmadığı yönünde.
124	||	602915060319723521	||	Mon May 25 22:12:06 EEST 2015	||	RT @tweetyagmuru: •• Bir Fenerbahçeli olarak Galatasarayın 2014-2015 sezonu şampiyonluğunu tebrik ediyorum.. Spor dostluktur eğlencedir kar…
125	||	736276630218395648	||	Fri May 27 22:23:22 EEST 2016	||	@YILDIZyakar alanya'nin stadi Süper lige yeterli Mi ?Yoksa antalya'da Mi oynanir?
126	||	765804656207491073	||	Wed Aug 17 09:57:12 EEST 2016	||	RT @anadoluajansi: "Bize ceza verilirken bazıları ödüllendiriliyordu"En büyük isteği iade-i itibar: https://t.co/92NOKwzy2p https://t.co/…
127	||	602938443598012416	||	Mon May 25 23:45:01 EEST 2015	||	RT @Salihustunyer: Şu galatasaray şampiyon olsunda bağların önünde kutlama yapıp tanımadığımız insanlara sarılalım çok güzel bi duygu ya fe…
128	||	788071264053239813	||	Mon Oct 17 20:36:45 EEST 2016	||	Cahillere linç girişimini destekliyorum arkadaş. Ulan kürk mantolu madonna kac yıldır d&r çok satanlarda insan ilgisi yoksa bile meraktan
129	||	630027825727156225	||	Sat Aug 08 17:48:33 EEST 2015	||	#SüperLig #sportoto "Papen Mustafa" Guinness rekoruna koşuyor: Galatasaray'ın efsane futbolcusu Metin Oktay'ın... http://t.co/SXKNpg7G17
130	||	817842488383782912	||	Sat Jan 07 23:16:58 EET 2017	||	RT @yudumlayan: Grup Yorum - Gündoğdu Marşı https://t.co/00t5ckoxnO @YouTube aracılığıyla
131	||	674589592008396801	||	Wed Dec 09 16:01:06 EET 2015	||	RT @SiirSokaktaaa: Zaten yalnızlığımın sebebi kitaplardaki kahramanları semtimde bulamayışım değil miydi?Sabahattin Ali
132	||	604596292585693184	||	Sat May 30 13:32:43 EEST 2015	||	Voleybol turnuvasinda şampiyon olduk. http://t.co/dNWVXsqexe
133	||	640666375837609984	||	Mon Sep 07 02:22:21 EEST 2015	||	49 günde 81 + dağlıca şeyit uyumak haram oldu
134	||	642215651084476416	||	Fri Sep 11 08:58:37 EEST 2015	||	RT @aktif_pursaklar: Hakkari dağlıcada çok sayıda sehidin olduğu belirtiliyor.yine yureklerimiz,ciğerimiz dağlanıyor.Rabbim ülkemizi sahili…
135	||	745372204934770690	||	Wed Jun 22 00:45:56 EEST 2016	||	İspanya bu görüntüyü konuşuyor!İspanyol milli marşı çalarken Katalan Pique'nin parmağı. #ESP https://t.co/T58CXAZZ87
136	||	674186611660365824	||	Tue Dec 08 13:19:48 EET 2015	||	RT @Nihat_Nasir: Devletin sırlarını ifşa ile ihanet eden bir terör örgütünü alenen savunan medya olamaz!..STV (Paralel Medya) ve Doğan Med…
137	||	788013604964540416	||	Mon Oct 17 16:47:38 EEST 2016	||	RT @artizizm: Kürk mantolu madonna --> https://t.co/lcBo8Py3W1
138	||	788274423568732160	||	Tue Oct 18 10:04:02 EEST 2016	||	RT @fipekcioglu00: Funda özkalyoncuoğlu'nun cahilliği sayesinde milyonlarca cahil, kitabın şarkıcı madonna ile alakası olmadığını öğrendi.…
139	||	817798905337417728	||	Sat Jan 07 20:23:47 EET 2017	||	RT @muzikonairodul: #MüzikOnairödülleri 2016 yılının #Eniyi #Kadın #dizi oyuncusu #HandeErcel diyorsan. Oyla! https://t.co/jut2FbTeV1 https…
140	||	595912107767410688	||	Wed May 06 14:24:52 EEST 2015	||	RT @Sonerbasaranlar: Sen aklıma gelince herşey gülümserdi.Ağaçlar şarkı söyler,rüzgar tatlı eserdi.Sabahattin Ali http://t.co/dTkqzlSgPs
141	||	629704084162019328	||	Fri Aug 07 20:22:07 EEST 2015	||	Şampiyon sporculardan Müdür İnanç'a ziyaret http://t.co/Qma0nnNIR2 @ aracılığıyla
